date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:52	14698/14698	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2010:10:00%20GMT	https://lol.qq.com/act/a20200922competition/index.html	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/lol.qq.com/act/a20200922competition/index.html	(from )
18:20:53	68/68	U-----	200	untouched ('OK')	text/plain	date:Tue,%2023%20Feb%202010%2008:34:12%20GMT	https://lol.qq.com/robots.txt		(from )
18:20:53	3244/3244	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Mon,%2018%20May%202020%2002:51:57%20GMT	http://lol.qq.com/v3/css/topfoot.css	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/lol.qq.com/v3/css/topfoot.css	(from https://lol.qq.com/act/a20200922competition/index.html)
18:20:55	11291/11291	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2007:05:00%20GMT	http://game.gtimg.cn/images/lol/act/a20200922competition/logo.png	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/act/a20200922competition/logo.png	(from https://lol.qq.com/act/a20200922competition/index.html)
18:20:55	2089/2089	---M--	200	added ('OK')	image/png	date:Tue,%2014%20May%202019%2003:57:18%20GMT	http://game.gtimg.cn/images/lol/v2/personal/avatar/default.png	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/v2/personal/avatar/default.png	(from https://lol.qq.com/act/a20200922competition/index.html)
18:20:57	19366/19366	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Sep%202019%2014:16:47%20GMT	http://game.gtimg.cn/images/lol/v3/logo-public.png	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/v3/logo-public.png	(from https://lol.qq.com/act/a20200922competition/index.html)
18:20:57	11615/11615	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Sep%202019%2012:22:33%20GMT	http://game.gtimg.cn/images/lol/v3/zm-qrcode.jpg	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/v3/zm-qrcode.jpg	(from https://lol.qq.com/act/a20200922competition/index.html)
18:20:59	5793/5793	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Dec%202018%2003:32:28%20GMT	http://game.gtimg.cn/images/lol/space/rank/2019pre/default.png	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/space/rank/2019pre/default.png	(from https://lol.qq.com/act/a20200922competition/index.html)
18:20:59	37/37	---M--	302	error ('Found')	text/html	date:Sat,%2010%20Oct%202020%2010:20:58%20GMT	http://js.aq.qq.com/js/aq_common.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/js.aq.qq.com/js/aq_common.a.delayed	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:00	15761/15761	---M--	200	added ('OK')	image/gif	date:Thu,%2013%20Sep%202018%2006:57:51%20GMT	http://game.gtimg.cn/images/lol/v3/polo.gif	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/v3/polo.gif	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:03	80117/80117	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2007:05:00%20GMT	http://game.gtimg.cn/images/lol/act/a20200922competition/btns.png	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/game.gtimg.cn/images/lol/act/a20200922competition/btns.png	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:05	33040/33040	---M-Z	-1	error ('Error%20when%20decompressing')	application/x-javascript	date:Mon,%2009%20Apr%202018%2003:33:44%20GMT	http://ossweb-img.qq.com/images/js/jquery/jquery-1.9.0.min.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/ossweb-img.qq.com/images/js/jquery/jquery-1.9.0.min.js	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:05	11444/11444	---M-Z	-1	error ('Error%20when%20decompressing')	application/x-javascript	date:Fri,%2011%20Sep%202020%2009:34:27%20GMT	http://ossweb-img.qq.com/images/js/milo_bundle/milo.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/ossweb-img.qq.com/images/js/milo_bundle/milo.js	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:05	1028/1028	---M-Z	-1	error ('Error%20when%20decompressing')	application/x-javascript	date:Wed,%2030%20Sep%202020%2001:22:07%20GMT	http://lol.qq.com/comm-htdocs/js/game_area/lol_server_select.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/lol.qq.com/comm-htdocs/js/game_area/lol_server_select.js	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:06	6119/6119	---M-Z	-1	error ('Error%20when%20decompressing')	application/x-javascript	date:Fri,%2010%20Jul%202020%2002:31:55%20GMT	http://lol.qq.com/v3/js/LOL_Login.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/lol.qq.com/v3/js/LOL_Login.js	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:06	18403/18403	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Sep%202019%2013:18:52%20GMT	http://lol.qq.com/v3/js/TopModule.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/lol.qq.com/v3/js/TopModule.js	(from https://lol.qq.com/act/a20200922competition/index.html)
18:21:06	5370/5370	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2009%20Apr%202018%2003:33:44%20GMT	http://ossweb-img.qq.com/images/js/ArtTemplate.js	C:/Users/86176/Desktop/%e6%96%b0%e5%bb%ba%e6%96%87%e4%bb%b6%e5%a4%b9/AA/ossweb-img.qq.com/images/js/ArtTemplate.js	(from https://lol.qq.com/act/a20200922competition/index.html)
